"trial","rank","lambda","basis_mode","pearson_error","spearman_error","quantile_error","covariance_error_x","covariance_error_y","runtime","transport_error_proxy"
15,20,0.01,"shared",1.504421055881,1.45877778833481,3.00239674942847e-17,8.02445133527522,7.82368913938683,0.130000000000001,1.21675814821234
16,20,0.01,"shared",1.62388105961362,1.59773289126737,3.00239674942847e-17,7.78096855486997,7.27100282682937,0.102,1.21675814821234
17,20,0.01,"shared",1.61542447992482,1.56281705212715,3.00239674942847e-17,7.3409714663337,6.90514887204855,0.0920000000000005,1.21675814821234
18,20,0.01,"shared",1.51315124265888,1.49244539597027,3.00239674942847e-17,6.94698230806311,7.93518799598115,0.0860000000000003,1.21675814821234
19,20,0.01,"shared",1.6780034637117,1.65831979905638,3.00239674942847e-17,7.91590352572255,6.87756444720728,0.0839999999999996,1.21675814821234
20,20,0.01,"shared",1.61704240730645,1.58888068082433,3.00239674942847e-17,6.81984143753387,7.59074449552394,0.0709999999999997,1.21675814821234
1,20,0.01,"independent",1.5272189618994,1.49869096525574,3.00239674942847e-17,7.67040884694986,8.8865484706339,0.0830000000000002,1.21675814821234
2,20,0.01,"independent",1.62863256132881,1.60188114458855,3.00239674942847e-17,7.54580888442285,5.62344015487381,0.0729999999999986,1.21675814821234
3,20,0.01,"independent",1.48829756512484,1.47066740424838,3.00239674942847e-17,6.8666070941612,6.10291692812471,0.0719999999999992,1.21675814821234
4,20,0.01,"independent",1.61980383121287,1.58468192862455,3.00239674942847e-17,7.9108877508338,7.52866521847365,0.0559999999999992,1.21675814821234
5,20,0.01,"independent",1.57532555390788,1.55445355846403,3.00239674942847e-17,8.4927587150604,7.13362673984611,0.0679999999999996,1.21675814821234
6,20,0.01,"independent",1.56014352065808,1.52944698089338,3.00239674942847e-17,8.34176039454079,8.99769812151559,0.0700000000000003,1.21675814821234
7,20,0.01,"independent",1.49525382566628,1.46588215371377,3.00239674942847e-17,7.6236207397675,7.41071324343924,0.0750000000000011,1.21675814821234
8,20,0.01,"independent",1.56306862572926,1.55279197994876,3.00239674942847e-17,6.81100198252432,6.10640227239079,0.0709999999999997,1.21675814821234
9,20,0.01,"independent",1.58664099497422,1.55179184636175,3.00239674942847e-17,5.80068631254968,7.0299533895956,0.0850000000000009,1.21675814821234
10,20,0.01,"independent",1.52478103839498,1.49173017007842,3.00239674942847e-17,8.45434738412598,7.75881376179739,0.0800000000000001,1.21675814821234
